timestamp,level,spot_id,free_spots_on_floor,cars_entered_last_15,is_peak_hour,is_weekend,spot_distance_entrance,prob_occupied_per_min,estimated_time_avail_min,estimated_time_label
6/1/2025 10:00,L3,L3-A,8,10,0,0,2,0,6,<6 mins
6/1/2025 10:00,L3,L3-B,8,10,0,0,2.2,0.337,4,<4 mins
6/1/2025 10:00,L3,L3-C,8,10,0,0,2.4,0.361,5,<5 mins
6/1/2025 10:00,L3,L3-D,8,10,0,0,2.6,0.307,5,<5 mins
6/1/2025 10:00,L3,L3-E,8,10,0,0,1,0.407,3,<3 mins
6/1/2025 10:00,L3,L3-F,8,10,0,0,1,0.422,1,<1 mins
6/1/2025 10:00,L3,L3-G,8,10,0,0,3.2,0.245,5,<5 mins
6/1/2025 10:00,L3,L3-H,8,10,0,0,3.4,0.246,6,<6 mins
6/1/2025 10:00,L3,L3-I,8,10,0,0,3.6,0.236,4,<4 mins
6/1/2025 10:00,L3,L3-J,8,10,0,0,3.8,0.271,5,<5 mins
6/1/2025 10:00,L3,L3-K,8,10,0,0,4,0.231,4,<4 mins
6/1/2025 10:00,L3,L3-L,8,10,0,0,1,0.406,4,<4 mins
6/1/2025 10:00,L3,L3-M,8,10,0,0,1,0.394,4,<4 mins
6/1/2025 10:00,L3,L3-N,8,10,0,0,4.6,0.18,7,<7 mins
6/1/2025 10:00,L3,L3-O,8,10,0,0,4.8,0.167,11,<11 mins
6/1/2025 10:00,L2,L2-A,5,10,0,0,2,0.373,5,<5 mins
6/1/2025 10:00,L2,L2-B,5,10,0,0,2.2,0.357,4,<4 mins
6/1/2025 10:00,L2,L2-C,5,10,0,0,2.4,0.33,3,<3 mins
6/1/2025 10:00,L2,L2-D,5,10,0,0,1,0.461,4,<4 mins
6/1/2025 10:00,L2,L2-E,5,10,0,0,1,0.46,3,<3 mins
6/1/2025 10:00,L2,L2-F,5,10,0,0,3.1,0.319,3,<3 mins
6/1/2025 10:00,L2,L2-G,5,10,0,0,3.3,0.299,4,<4 mins
